"Barahona_acteon" "Barahona_vertumno" "Bocangel_leandro" "Carrillo_acis" "Cetina_amorpsique" "Espinosa_genil" "Gongora_piramotisbe" "Gongora_polifemo" "Hurtadodemendoza_fabulaadonis" "Jauregui_orfeo" "Lope_andromeda" "Lope_circe" "Lope_filomenaprimera" "Lope_filomenasegunda" "Lope_rosa" "Montalban_orfeo" "Polo_fabapolodafne" "Polo_fabpansiringa" "Quevedo_apolo" "Soto_fragmentosadonis" "Soto_rayosfaeton" "Villamediana_apolodafne" "Villamediana_europa" "Villamediana_faeton" "Villamediana_fenix"
"con" 1.33900106269926 1.30151843817787 0.794824399260628 0.912964090079124 2.12521539345204 1.62548764629389 0.762673844773441 0.493522516964837 1.59604788143644 0.900307422046552 1.13017154389506 1.37700215156586 1.00905859419791 1.20951485015455 1.00036376864314 1.24239350912779 1.58328055731476 1.47754137115839 1.92307692307692 1.5063731170336 1.0690458966321 0.903876238484269 0.744047619047619 0.782866912624854 0.746268656716418
"al" 0.658873538788523 0.686912509038322 1.33086876155268 1.21728545343883 1.55083285468122 0.715214564369311 0.807537012113055 1.75817396668723 0.931027930837925 1.70180061484409 1.2108980827447 0.984939038967248 1.03199174406605 0.927294718451821 0.74572571844307 1.09026369168357 0.474984167194427 0.295508274231678 0.769230769230769 1.16702532693263 1.53524636283257 1.21675647488267 1.04166666666667 1.45775218212904 1.08548168249661
"del" 0.573857598299681 0.361532899493854 1.1460258780037 1.15642118076689 0.402067777139575 0.975292587776333 1.16644235082997 1.20296113510179 0.760022800684021 1.16381203337725 1.39253279515641 1.09012670332297 0.974658869395711 1.07512431124849 0.727537286285922 1.36071670047329 0.253324889170361 1.06382978723404 0.961538461538462 1.32428405893064 1.04493207941484 1.0950808273944 1.43849206349206 1.68271393863043 1.83175033921303
"las" 0.913921360255048 0.723065798987708 0.55452865064695 0.486914181375533 0.919012062033314 1.7555266579974 1.16644235082997 1.11042566317088 0.798023940718222 0.669740887132191 1.33198789101917 1.17618933779584 1.28425639261553 1.57236930520091 1.27319025100036 1.55510480054091 0.981633945535149 1.47754137115839 1.34615384615385 0.835954312199967 1.49505666747046 0.677907178863202 1.19047619047619 0.710879150544407 1.22116689280868
"se" 0.871413390010627 1.19305856832972 1.62661737523105 0.608642726719416 1.78058587018955 0.5851755526658 0.672947510094213 0.40098704503393 0.988029640889227 1.24066754501537 0.645812310797175 0.655032273487927 0.722394220846233 0.645074586749093 0.782102582757366 0.786004056795132 0.791640278657378 1.35933806146572 0.769230769230769 1.15874855156431 1.11727353106663 0.538849296019468 0.347222222222222 0.51291280482318 0.780189959294437
"por" 1.04144527098831 1.33767172812726 0.720887245841035 0.669506999391357 1.14876507754164 1.10533159947984 0.583221175414984 0.370141887723627 1.63404902147064 0.395256916996047 1.47325933400605 0.970595266555104 1.11225776860452 0.860099448998791 0.909421607857403 0.997295469912103 1.10829639012033 0.945626477541371 2.11538461538462 0.744909783148485 0.474238405272888 0.625760472796802 0.669642857142857 0.557905156123459 0.508819538670285
"le" 0.977683315621679 0.795372378886479 0.757855822550832 0.243457090687766 0.919012062033314 0.325097529258778 0.583221175414984 0.215916101172116 0.513015390461714 0.505050505050505 0.746720484359233 0.516375806837198 0.607728471505561 0.228463916140304 0.418333939614405 0.473292765382015 0.506649778340722 0.650118203309693 0.192307692307692 0.993213044197981 0.651073064866168 0.556231531374935 0.347222222222222 0.458921983262845 0.508819538670285
"más" 0.913921360255048 0.976138828633406 0.739371534195933 0.912964090079124 0.229753015508329 0.325097529258778 0.807537012113055 0.863664404688464 0.513015390461714 0.494071146245059 0.423814328960646 0.511594549366483 0.630661621373696 0.685391748420911 0.618406693343034 0.338066260987153 0.538315389487017 0.650118203309693 0.576923076923077 0.778016884621751 0.634997186721325 0.538849296019468 0.173611111111111 0.395932691442455 0.440976933514247
"si" 0.637619553666312 0.578452639190166 0.628465804066543 0.486914181375533 0.0574382538770821 0.325097529258778 0.672947510094213 0.647748303516348 0.437013110393312 0.340360122968819 0.565085771947528 0.487688262012909 0.561862171769293 0.416610670608789 0.472899236085849 0.608519269776876 0.823305889803673 1.00472813238771 0.384615384615385 0.446945869889091 0.546579856924684 0.417173648531201 0.223214285714286 0.413929631962566 0.169606512890095
"ya" 0.318809776833156 0.433839479392625 0.573012939001848 0.365185636031649 0.459506031016657 0.195058517555267 0.448631673396142 0.40098704503393 0.304009120273608 0.922266139657444 0.726538849646821 0.382500597657184 0.447196422428621 0.255342023921516 0.309203346671517 0.262001352265044 0.348321722609246 0.177304964539007 0.769230769230769 0.471776195994041 0.474238405272888 0.799582826351469 0.818452380952381 0.584900566903626 0.576662143826323
"sus" 0.51009564293305 0.253073029645698 0.258780036968577 0.486914181375533 0.459506031016657 0.260078023407022 0.852400179452669 0.832819247378162 0.133003990119704 0.461133069828722 0.383451059535822 0.310781735596462 0.240798073615411 0.389732562827577 0.472899236085849 0.422582826233942 0.348321722609246 0.354609929078014 1.34615384615385 0.695249130938586 0.522466039707419 0.504084825308535 0.620039682539683 0.503914334563124 1.01763907734057
"un" 0.595111583421892 0.397686189443239 0.240295748613678 0.669506999391357 0.80413555427915 0.5851755526658 1.48048452220727 0.771128932757557 0.304009120273608 0.175669740887132 0.504540867810293 0.502032034425054 0.412796697626419 0.228463916140304 0.636595125500182 0.270453008789723 1.04496516782774 1.59574468085106 0.384615384615385 0.537990398940573 0.458162527128044 0.365026942464801 0.27281746031746 0.0629892918203905 0.033921302578019
"es" 0.51009564293305 0.795372378886479 0.77634011090573 0.304321363359708 0.229753015508329 0.260078023407022 0.314042171377299 0.709438618136953 0.266007980239407 0.406236275801493 0.383451059535822 0.34903179536218 0.298130948285747 0.645074586749093 0.291014914514369 0.185936443542934 1.10829639012033 0.472813238770686 0 0.35590134083761 0.426010770838357 0.469320354597601 0.570436507936508 0.395932691442455 0.576662143826323
"amor" 0.255047821466525 0.397686189443239 0.646950092421442 0.426049908703591 0.746697300402068 0.130039011703511 0.269179004037685 0.308451573103023 0.323009690290709 0.219587176108915 0.363269424823411 0.411188142481473 0.481596147230822 0.201585808359092 0.709348854128774 0.540906017579446 0.316656111462951 0.177304964539007 0 0.231749710312862 0.0321517562896873 0.556231531374935 0.297619047619048 0.188967875461172 0
"tu" 0.297555791710946 0.289226319595083 0.499075785582255 0.608642726719416 0.0574382538770821 0.390117035110533 0.179452669358457 0.123380629241209 0.437013110393312 0.219587176108915 0.282542885973764 0.463781974659335 0.229331498681344 0.188146754468485 0.291014914514369 0.566260987153482 0.0949968334388854 0 0 0.16553550736633 0.208986415882968 0.730053884929602 0.520833333333333 0.368937280662287 0.135685210312076
"mi" 0.297555791710946 0.144613159797542 0.258780036968577 1.70419963481436 0 0.715214564369311 0.134589502018843 0.246761258482418 0.247007410222307 0.186649099692578 0.343087790110999 0.387281855127899 0.298130948285747 0.510684047843032 0.236449618042925 0.431034482758621 0.474984167194427 0.177304964539007 0.961538461538462 0.273133587154445 0.168796720520858 0.451938119242135 0.27281746031746 0.143975524160893 0
"como" 0.48884165781084 0.542299349240781 0.166358595194085 0.121728545343883 0.402067777139575 0.650195058517555 0.224315836698071 0.0925354719309068 0.266007980239407 0.131752305665349 0.504540867810293 0.401625627540043 0.321064098153881 0.30909823948394 0.400145507457257 0.464841108857336 0.664977834072198 0.591016548463357 0 0.157258731998014 0.0884173297966401 0.278115765687467 0.223214285714286 0.134977053900837 0.373134328358209
"lo" 0.871413390010627 0.93998553868402 0.184842883548983 0.608642726719416 0.344629523262493 0 0.852400179452669 0.616903146206046 0.285008550256508 0.230566534914361 0.181634712411705 0.243844131006455 0.321064098153881 0.295659185593334 0.218261185885777 0.202839756592292 1.01329955668144 1.00472813238771 0 0.157258731998014 0.217024354955389 0.1042934121328 0.0496031746031746 0.206964815981283 0.237449118046133
"cuando" 0.170031880977683 0.253073029645698 0.184842883548983 0.182592818015825 0.114876507754164 0.195058517555267 0.448631673396142 0.339296730413325 0.152004560136804 0.340360122968819 0.201816347124117 0.334688022950036 0.263731223483545 0.174707700577879 0.345580210985813 0.236646382691007 0.189993666877771 0.650118203309693 0 0.364178116205926 0.136644964231171 0.538849296019468 0.446428571428571 0.242958697021506 0.848032564450475
"sin" 0.467587672688629 0.289226319595083 0.166358595194085 0 0.344629523262493 0.130039011703511 0.314042171377299 0.277606415792721 0.342010260307809 0.120772946859903 0.181634712411705 0.282094190772173 0.321064098153881 0.362854455046365 0.309203346671517 0.312711291413117 0.189993666877771 0.531914893617021 0.192307692307692 0.322794239364344 0.297403745679608 0.173822353554667 0.148809523809524 0.197966345721227 0.305291723202171
"tan" 0.361317747077577 0.289226319595083 0.0924214417744917 0.243457090687766 0.0574382538770821 0 0.0897263346792284 0.154225786551511 0.513015390461714 0.142731664470795 0.343087790110999 0.463781974659335 0.36693039789015 0.24190297003091 0.509276100400145 0.338066260987153 0.411652944901837 0.709219858156028 0.961538461538462 0.256580036417812 0.217024354955389 0.0173822353554667 0.0496031746031746 0.0179969405201116 0
"me" 0.425079702444208 0.216919739696312 0.314232902033272 0.304321363359708 0.0574382538770821 0 0.134589502018843 0.0925354719309068 0.342010260307809 0.043917435221783 0.282542885973764 0.435094429835047 0.355463822956083 0.268781077812122 0.0727537286285922 0.278904665314402 1.3299556681444 0.8274231678487 0.192307692307692 0.099321304419798 0.0562655735069528 0.0695289414218669 0 0.0629892918203905 0
"mas" 0.425079702444208 0.361532899493854 0.147874306839187 0.243457090687766 0.689259046524986 0.455136540962289 0.269179004037685 0.308451573103023 0.285008550256508 0.241545893719807 0.201816347124117 0.262969160889314 0.149065474142874 0.349415401155759 0.272826482357221 0.152129817444219 0.348321722609246 0.118203309692671 0.576923076923077 0.256580036417812 0.136644964231171 0.1564401181992 0.124007936507937 0.152973994420948 0.135685210312076
"o" 0.467587672688629 0.433839479392625 0.388170055452865 0.304321363359708 0 0.0650195058517555 0.628084342754598 0.740283775447255 0.494014820444613 0.307422046552481 0.201816347124117 0.138656466650729 0.160532049076941 0.107512431124849 0.236449618042925 0.245098039215686 0.443318556048132 0 0 0.115874855156431 0.144682903303593 0.1564401181992 0.396825396825397 0.0989831728606137 0.407055630936228
"ni" 0.212539851222104 0.397686189443239 0.22181146025878 0.486914181375533 0.402067777139575 0.520156046814044 0.179452669358457 0.0616903146206046 0.532015960478814 0.36231884057971 0.141271442986882 0.320344250537891 0.103199174406605 0.215024862249698 0.163695889414332 0.295807978363759 0.316656111462951 0.177304964539007 0 0.049660652209899 0.152720842376015 0.0869111767773336 0.223214285714286 0.125978583640781 0.373134328358209
"te" 0.276301806588735 0.433839479392625 0.388170055452865 0.182592818015825 0 0.260078023407022 0.0448631673396142 0.154225786551511 0.285008550256508 0.0768555116381203 0.262361251261352 0.329906765479321 0.343997248022016 0.0806343233436366 0.272826482357221 0.236646382691007 0.411652944901837 0.118203309692671 0.384615384615385 0.033107101473266 0.241138172172655 0.208586824265601 0.322420634920635 0.0809862323405021 0.067842605156038
"entre" 0.255047821466525 0.180766449746927 0.055452865064695 0.0608642726719416 0.287191269385411 0.455136540962289 0.179452669358457 0.215916101172116 0.342010260307809 0.0878348704435661 0.24217961654894 0.253406645947884 0.217864923747277 0.30909823948394 0.145507457257184 0.194388100067613 0 0.295508274231678 0.192307692307692 0.322794239364344 0.249176111245077 0.139057882843734 0.198412698412698 0.152973994420948 0.203527815468114
"quien" 0.276301806588735 0.361532899493854 0.22181146025878 0.121728545343883 0.0574382538770821 0.325097529258778 0.224315836698071 0.123380629241209 0.456013680410412 0.0658761528326746 0.201816347124117 0.258187903418599 0.263731223483545 0.497244993952426 0.236449618042925 0.270453008789723 0.126662444585181 0.295508274231678 0 0.107598079788115 0.112531147013906 0.1042934121328 0.0992063492063492 0.107981643120669 0.271370420624152
"sol" 0.191285866099894 0.0723065798987708 0.369685767097967 0.426049908703591 0 0.195058517555267 0.0897263346792284 0.154225786551511 0.133003990119704 0.043917435221783 0.343087790110999 0.291656705713603 0.298130948285747 0.268781077812122 0.254638050200073 0.202839756592292 0.0316656111462951 0.0591016548463357 1.15384615384615 0.099321304419798 0.200948476810546 0.208586824265601 0.173611111111111 0.0539908215603347 0.169606512890095
