Unnamed: 0,characters,words,sentences,avg_word_length_x,avg_sentence_length_x,Alcides,Amor,Apolo,Argos,Cerbero,Cintia,Climene,Creta,Cupido,Dafne,Diana,Délo,Europa,Faetón,Febo,Fitón,Fénix,Galatea,Helicona,Hércules,Júpiter,Marte,Minerva,Narciso,Neptuno,Olimpo,Orfeo,Palas,Parnaso,Siringa,Tempe,Tetis,Venus,lexical_diversity,avg_word_length_y,syllable_density,readability_score,vowel_density,rhyme_diversity,avg_syllables_per_line,syllable_variance,most_common_meter,divine,love,nature,light,transformation,death,beauty,avg_sentence_length_y,sentence_length_variance,function_word_frequency,punctuation_frequency,uppercase_frequency,freq_a,freq_e,freq_i,freq_o,freq_u
Jauregui_orfeo,107085.0,18216.0,694.0,4.8686868686868685,26.2478386167147,4,40,4,0,4,2,0,0,2,2,0,0,2,0,6,0,0,0,2,0,0,2,2,0,0,0,30,0,0,0,0,0,4,0.2102547211242863,4.8686868686868685,1.953227931488801,39.65774496736836,0.3676604024208862,1.0,35580.0,0.0,35580.0,0.0030742204655248,0.0104303908651734,0.0083443126921387,0.0043917435221783,0.0003293807641633,0.0034036012296881,0.0025252525252525,26.2478386167147,158.44089727512062,0.2486824769433465,0.0324780408407621,0.009429108631189,0.0936549956502623,0.1040008231761503,0.0498956998400419,0.0735058885157572,0.0332263827956184
Lope_andromeda,55893.0,9910.0,280.0,4.626236125126135,35.392857142857146,0,36,4,0,0,0,2,2,0,0,0,0,6,2,2,0,0,0,0,0,18,0,2,2,6,2,0,4,4,0,0,0,4,0.2129162462159435,4.626236125126135,1.8326942482341069,38.46242219833576,0.3657788539144471,1.0,18162.0,0.0,18162.0,0.0056508577194752,0.0090817356205852,0.0171543895055499,0.0030272452068617,0.0002018163471241,0.0034308779011099,0.007063572149344,35.392857142857146,291.61408163265304,0.2494450050454086,0.0321406151914626,0.0114429199174961,0.0966012016859474,0.1057124921531701,0.0416823603264281,0.0723522554031028,0.0332526230831315
Lope_circe,238769.0,41830.0,1282.0,4.679368874013866,32.62870514820593,4,172,16,0,6,0,0,2,2,2,0,0,4,2,4,0,4,10,0,4,20,8,0,2,24,0,6,8,0,0,0,4,24,0.1562514941429596,4.679368874013866,1.8386803729380827,41.16648752348212,0.3633164538845883,1.0,76912.0,0.0,76912.0,0.0027253167583074,0.0090365766196509,0.017786277791059,0.004542194597179,0.0001912502988285,0.0031078173559646,0.0030600047812574,32.62870514820593,339.9880159948988,0.2458522591441549,0.0303998450963307,0.0112892566853698,0.0951899885085049,0.1053850071769227,0.0438023799601796,0.0700939103495014,0.0348364882327932
Lope_filomenaprimera,97987.0,17442.0,508.0,4.604976493521385,34.33464566929134,0,84,2,2,0,0,0,0,2,2,0,0,6,2,6,0,0,2,0,0,10,8,2,2,2,0,8,0,0,2,0,0,10,0.1900584795321637,4.604976493521385,1.8069028781103085,40.95574166758445,0.3616370536307934,1.0,31516.0,0.0,31516.0,0.0036693039789015,0.0124985666781332,0.0170851966517601,0.0026373122348354,0.0002293314986813,0.0018346519894507,0.0057332874670335,34.33464566929134,336.02709405418807,0.2598325880059626,0.0315054060412639,0.0102699440472171,0.0973598878898538,0.1062796002495882,0.0408138214625464,0.0695778480171029,0.0336739599635846
Lope_filomenasegunda,85905.0,14884.0,386.0,4.761085729642569,38.55958549222798,0,30,12,0,0,2,0,0,0,0,0,0,0,2,4,0,6,0,2,0,0,4,0,2,0,0,0,2,4,0,0,4,4,0.2036414942219833,4.761085729642569,1.8653587745229776,33.93028722127963,0.3650506723267286,1.0,27764.0,0.0,27764.0,0.0069873689868314,0.0057780166621875,0.0145122278957269,0.0038968019349637,0.0001343724805159,0.0018812147272238,0.0016124697661918,38.55958549222798,962.099277832962,0.2601451222789572,0.0304617071151177,0.011755239128153,0.0961199808739664,0.1010647602831586,0.0484681679825533,0.0696700759210234,0.0331440167002927
Lope_rosa,62313.0,10994.0,294.0,4.653265417500455,37.39455782312925,0,78,6,0,0,0,0,0,4,0,0,0,0,0,8,0,2,0,0,0,26,30,0,0,2,2,0,18,0,0,0,0,78,0.2052937966163361,4.653265417500455,1.8386392577769688,36.29101372426703,0.3646280832166819,1.0,20216.0,0.0,20216.0,0.0109150445697653,0.0141895579406949,0.0163725668546479,0.0069128615608513,0.0,0.0014553392759687,0.0078224486083318,37.39455782312925,392.7177564903512,0.2626887393123522,0.0314717381860307,0.0112628919888658,0.1021705201847114,0.1004971762320799,0.0413830831362327,0.0683818442181139,0.036523949735322
Montalban_orfeo,133675.0,23662.0,538.0,4.625390922153664,43.98141263940521,2,128,22,2,4,0,0,0,2,8,6,0,2,0,8,0,4,0,0,0,6,6,0,2,2,0,46,0,4,0,0,0,10,0.175133124841518,4.625390922153664,1.841010903558448,29.517566097225,0.3670580810926548,1.0,43562.0,0.0,43562.0,0.0061702307497252,0.012932127461753,0.012932127461753,0.0066773730031273,0.0001690474178006,0.0030428535204124,0.0043107091539176,43.98141263940521,167.57247688672075,0.2454568506466063,0.026219507614175,0.011840098567318,0.0955622168631251,0.1043972142712254,0.044144936028909,0.0715815096125673,0.0359109588526523
Polo_fabapolodafne,17100.0,3158.0,154.0,4.379354021532616,20.506493506493506,0,10,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4363521215959468,4.379354021532616,1.7311589613679543,61.258059106363135,0.3635132748572438,1.0,5467.0,0.0,5467.0,0.0022165927802406,0.0050664977834072,0.0075997466751108,0.0006333122229259,0.0,0.0,0.006333122229259,20.506493506493506,313.476345083488,0.2640911969601013,0.0375581326897038,0.0108318125625478,0.093424383351975,0.106787543415553,0.0374992641431683,0.0731147347971978,0.0385588979808088
Polo_fabpansiringa,9152.0,1692.0,45.0,4.391252955082742,37.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.4816784869976359,4.391252955082742,1.7210401891252955,41.30363636363639,0.358074772503015,1.0,2912.0,0.0,2912.0,0.0070921985815602,0.0047281323877068,0.0088652482269503,0.0011820330969267,0.0,0.0005910165484633,0.0035460992907801,37.6,746.480987654321,0.283096926713948,0.0328911303585133,0.0103058875123341,0.1181887950882578,0.0945071812301282,0.0381537112158754,0.0601907685560793,0.0336585900668786
Quevedo_apolo,5619.0,1040.0,44.0,4.388461538461539,23.63636363636364,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,4.388461538461539,1.678846153846154,60.17409090909092,0.3505265036587542,1.0,1746.0,0.0,1746.0,0.0057692307692307,0.0096153846153846,0.0346153846153846,0.0115384615384615,0.0,0.0019230769230769,0.0115384615384615,23.63636363636364,25.231404958677683,0.2519230769230769,0.0321256469748349,0.0453328573978226,0.085668391932893,0.0981616990897733,0.0364090665714795,0.0788863109048723,0.0342673567731572
Soto_fragmentosadonis,70359.0,12079.0,357.0,4.800562960509976,33.83473389355742,1,28,0,0,0,0,0,0,16,0,0,0,0,1,3,0,0,0,0,0,4,13,2,0,3,0,0,0,0,0,0,1,27,0.3574799238347545,4.800562960509976,1.9187018792946435,34.39309189713521,0.3656228591002512,1.0,23176.0,0.0,23176.0,0.0025664376190081,0.0107624803377763,0.0105141154069045,0.0031459557910423,0.0,0.0028148025498799,0.0063746998923751,33.83473389355742,505.3332077929211,0.2414107128073516,0.027346426124686,0.0073646951358757,0.0995803836492349,0.1052038136560858,0.0412908198218771,0.0709636903402603,0.037108928979219
Soto_rayosfaeton,146661.0,24878.0,872.0,4.880778197604309,28.529816513761467,6,8,4,2,0,0,22,2,6,4,6,0,2,32,6,0,0,2,2,4,14,4,4,2,8,0,0,0,4,0,0,2,4,0.1950317549642254,4.880778197604309,1.949433234182812,39.27970932688561,0.3658758313340305,1.0,48498.0,0.0,48498.0,0.0031353002652946,0.0041000080392314,0.0125412010611785,0.0090843315379049,0.0,0.0011254924029262,0.0033764772087788,28.529816513761467,310.05123200909014,0.2426240051451081,0.0254953828066793,0.0101571417830363,0.100833213716926,0.1066978352847895,0.0453175302971271,0.0689947437133034,0.0315377201796296
Villamediana_apolodafne,66523.0,11506.0,348.0,4.77281418390405,33.0632183908046,4,64,10,0,0,6,0,0,0,24,0,0,0,0,20,6,6,0,2,0,4,10,4,4,2,6,0,6,0,0,2,12,6,0.2016339301234138,4.77281418390405,1.9360333738918825,33.72186149255461,0.3696120202947863,1.0,22276.0,0.0,22276.0,0.0092125847383973,0.0123413871023813,0.0168607682948027,0.0168607682948027,0.0,0.0027811576568746,0.0043455588388666,33.0632183908046,277.20214030915577,0.2247523031461846,0.0211077821773234,0.0097860616371328,0.093193417744388,0.1038526971891419,0.0487797533912467,0.0766323903584709,0.034597491757125
Villamediana_europa,23223.0,4032.0,101.0,4.75421626984127,39.92079207920792,2,12,1,1,0,3,0,1,1,0,0,0,9,0,1,0,1,3,0,0,4,5,2,0,8,1,0,0,0,0,0,7,3,0.4414682539682539,4.75421626984127,1.9474206349206349,24.89330357142859,0.3718965517241379,1.0,7852.0,0.0,7852.0,0.0066964285714285,0.0059523809523809,0.0181051587301587,0.0086805555555555,0.0,0.0014880952380952,0.0034722222222222,39.92079207920792,736.7707087540438,0.2403273809523809,0.0195258620689655,0.0099137931034482,0.0974568965517241,0.105,0.0462931034482758,0.0778448275862069,0.03375
Villamediana_faeton,130869.0,22228.0,656.0,4.880061184092136,33.88414634146341,14,42,12,0,4,6,14,0,2,4,2,4,2,26,4,2,2,2,2,2,2,14,4,0,16,6,0,4,0,2,0,38,4,0.1864765161058124,4.880061184092136,1.967518445204247,31.35517728418137,0.3701884453829733,1.0,43734.0,0.0,43734.0,0.0066582688500989,0.0055785495771099,0.0104372863055605,0.014846140003599,8.997660608241857e-05,0.0052186431527802,0.0030592046068022,33.88414634146341,238.32194378346225,0.2361885909663487,0.0231673820399231,0.009211865249692,0.0918585167672779,0.1073136395283892,0.048232224696062,0.0755311742067773,0.0335881133273655
Villamediana_fenix,17353.0,2948.0,56.0,4.883649932157395,52.642857142857146,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,1,0.4630257801899592,4.883649932157395,1.9840569877883312,11.378958616010864,0.3731549815498155,1.0,5849.0,0.0,5849.0,0.0057666214382632,0.003731343283582,0.0111940298507462,0.0139077340569877,0.0,0.0078018995929443,0.0003392130257801,52.642857142857146,1057.6581632653065,0.2306648575305291,0.0210447416974169,0.0058233394833948,0.0950761070110701,0.1028597785977859,0.0477975092250922,0.0759340405904059,0.0394372693726937
