,lexical_diversity,avg_word_length,syllable_density,readability_score,vowel_density,rhyme_diversity,avg_syllables_per_line,syllable_variance,most_common_meter,author,title,filename
Jauregui_orfeo,0.21025472112428634,4.8686868686868685,1.953227931488801,39.65774496736836,0.3676604024208862,1.0,35580.0,0.0,35580.0,"Jáuregui, Juan de",Orfeo,Jauregui_orfeo.xml
Lope_andromeda,0.2129162462159435,4.626236125126135,1.8326942482341069,38.46242219833576,0.36577885391444714,1.0,18162.0,0.0,18162.0,"Lope de Vega, Félix",La Andrómeda,Lope_andromeda.xml
Lope_circe,0.1562514941429596,4.679368874013866,1.8386803729380827,41.16648752348212,0.36331645388458833,1.0,76912.0,0.0,76912.0,"Lope de Vega, Félix",La Circe,Lope_circe.xml
Lope_filomenaprimera,0.19005847953216373,4.604976493521385,1.8069028781103085,40.95574166758445,0.36163705363079346,1.0,31516.0,0.0,31516.0,"Lope de Vega, Félix",La Filomena,Lope_filomenaprimera.xml
Lope_filomenasegunda,0.20364149422198333,4.761085729642569,1.8653587745229776,33.93028722127963,0.3650506723267286,1.0,27764.0,0.0,27764.0,"Lope de Vega, Félix",Segunda parte de la Filomena,Lope_filomenasegunda.xml
Lope_rosa,0.20529379661633618,4.653265417500455,1.8386392577769692,36.29101372426703,0.36462808321668194,1.0,20216.0,0.0,20216.0,"Lope de Vega, Félix",La rosa blanca,Lope_rosa.xml
Montalban_orfeo,0.17513312484151805,4.625390922153664,1.841010903558448,29.517566097225,0.3670580810926548,1.0,43562.0,0.0,43562.0,"Montalbán, Juan Pérez de",El Orfeo en lengua castellana,Montalban_orfeo.xml
Polo_fabapolodafne,0.43635212159594683,4.379354021532616,1.7311589613679543,61.258059106363135,0.3635132748572438,1.0,5467.0,0.0,5467.0,"Polo de Medina, Jacinto",Fábula de Apolo y Dafne,Polo_fabapolodafne.xml
Polo_fabpansiringa,0.48167848699763594,4.391252955082742,1.7210401891252955,41.303636363636386,0.358074772503015,1.0,2912.0,0.0,2912.0,"Polo de Medina, Jacinto",Fábula de Pan y Siringa,Polo_fabpansiringa.xml
Quevedo_apolo,0.3076923076923077,4.388461538461539,1.6788461538461539,60.17409090909092,0.35052650365875426,1.0,1746.0,0.0,1746.0,"Quevedo, Francisco de",Fábula de Apolo y Dafne,Quevedo_apolo.xml
Soto_fragmentosadonis,0.3574799238347545,4.800562960509976,1.9187018792946435,34.39309189713521,0.3656228591002512,1.0,23176.0,0.0,23176.0,"Soto de Rojas, Pedro",Fragmentos de Adonis,Soto_fragmentosadonis.xml
Soto_rayosfaeton,0.19503175496422542,4.880778197604309,1.9494332341828122,39.27970932688561,0.3658758313340305,1.0,48498.0,0.0,48498.0,"Soto de Rojas, Pedro",Los rayos de Faetón,Soto_rayosfaeton.xml
Villamediana_apolodafne,0.20163393012341388,4.77281418390405,1.9360333738918825,33.72186149255461,0.3696120202947863,1.0,22276.0,0.0,22276.0,"Villamediana, Conde de",Fábula de Apolo y Dafne,Villamediana_apolodafne.xml
Villamediana_europa,0.44146825396825395,4.75421626984127,1.9474206349206349,24.89330357142859,0.37189655172413794,1.0,7852.0,0.0,7852.0,"Villamediana, Conde de",Fábula de Europa,Villamediana_europa.xml
Villamediana_faeton,0.18647651610581248,4.880061184092136,1.967518445204247,31.355177284181366,0.37018844538297335,1.0,43734.0,0.0,43734.0,"Villamediana, Conde de",Fábula de Faetón,Villamediana_faeton.xml
Villamediana_fenix,0.46302578018995927,4.883649932157395,1.9840569877883312,11.378958616010863,0.3731549815498155,1.0,5849.0,0.0,5849.0,"Villamediana, Conde de",Fábula de la Fénix,Villamediana_fenix.xml
