entity,count
Pirú,1
Compungida,1
van despacio,1
Caribdi,1
según está ciega,1
Perpetuo,1
más tira,1
Finge,1
término,1
Ya Mirra,1
Desvarío,1
haré,1
Iba,1
Doncellear,1
horro Mahoma,1
señor Apolo,1
¿Miren,1
Agnus Dei,1
Efesiosen,1
Admita,1
Escocióla,1
Barbarroja,1
Dominus,1
kyries el cabello,1
Componiendo,1
pinto,1
Llevando,1
qué linda ocasión,1
Valenzuela,1
Lindo,1
Vése Atalanta,1
Escondióse,1
Fragmento II,1
Pusóse,1
purpúreas rosas,1
galantea solícito,1
Llevarse,1
Digno,1
Movido,1
Al Sol,1
Ráigansele,1
Huyendo,1
Ioanes,1
Siguióla Pan,1
Miguero,1
Palacio,1
Atila,1
Eva,1
Hipomenes llegó,1
Esqueneo,1
término de un día?,1
lisonja amena,1
Recibirále,1
encenia generosa,1
Júpiter Fileno,1
aquí frías,1
esperanza güeca,1
Vulcán,1
Espantosos,1
dulce murmuración,1
Ufano,1
Febeteo,1
Rastro,1
Inclínase,1
Sálese,1
Tirando,1
halaga,1
Remítese,1
batallón de la corriente,1
¿Gobernación,1
Nace,1
pequeña,1
¿Acción,1
Febo-,1
acción generosa,1
Labio,1
Excelso,1
Puerta,1
frágil cosa,1
Después airosa Flora,1
Muda,1
Avenidas,1
Jano,1
Apeles,1
Policleto,1
Benigno el Sol,1
hidra,1
Ata,1
Vase,1
Celar,1
aurora,1
Goce,1
Elíseo,1
jabalí venía,1
término infinito,1
héroe,1
Aborrecido Marte,1
Tórtola,1
jamás cogerlas,1
Alaquesis,1
Sospechosa Climene,1
Mavorte,1
Indimión,1
Tener Venus,1
Jüez,1
dale,1
Aguárdalos,1
sembró,1
Limpian,1
llévanlo igualado,1
Ocio,1
Yace del Jonio mar,1
Buscándole,1
Tira,1
Aguarda,1
Arco,1
Quiso,1
de noche,1
¿Cuántas,1
Librado,1
Qué,1
Epafo,1
bohordo altivo,1
sujete el prado,1
Húmeda,1
Hipobóreas,1
Morea,1
Tiende,1
Abrió,1
Medir,1
Fulminarás,1
Rasga,1
Delincuente Neptuno,1
Ponto,1
imperfeto,1
Cárdeno,1
Amante,1
Aquilón,1
Calza Himeneo,1
Tedífero,1
honoró,1
pavón cerúleo,1
Mira,1
tardo el sol,1
Tántalo del mar,1
Inquiere,1
Agradézcote,1
Allí murió Cupido,1
Alonso Carrillo,1
Levantada,1
